id,plan_id,payer_id,drug_name,state_name,coverage_status,drug_tier,drug_requirements,is_prior_authorization_required,is_step_therapy_required,is_quantity_limit_applied,confidence_score,source_url,plan_name,payer_name,file_name,ndc_code,jcode,coverage_details,status
356a42b1-8c80-4587-bafd-2fe968f0d583,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,Contraceptives,Indiana,Covered,Tier 1,,No,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
156e0828-79d8-4f35-bb28-d3a7cf2f7544,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,ASPIRIN 81 MG TABLET,Indiana,Covered with Conditions,Tier 1,"['PA', 'QL']",Yes,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
d8d15daf-d90e-45f9-9acd-00dd1eae9b46,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,ibuprofen,Indiana,Covered,Tier 1,,No,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
e4aef344-fbe5-45a5-a55a-8b8c0ce99304,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,ATORVASTATIN CALCIUM TABLET,Indiana,Covered with Conditions,Tier 2,['ST'],No,Yes,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
30fd00b5-bee6-4bac-9abb-b619bcf7e443,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,Aspirin,Indiana,Covered,Tier 1,,No,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
58f78f77-278c-44a1-ad79-50039f80e6a4,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,clonidine hcl er oral tablet extended release 12 hour,Indiana,Covered with Conditions,1 or 1b*,['PA'],Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
305460fc-4efd-48e4-a45a-9e101e18a8e2,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,guanfacine hcl er oral tablet extended release 24 hour,Indiana,Covered with Conditions,1 or 1b*,['PA'],Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
1e16d1ab-b851-4107-babb-edefd2fcc1d1,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,atomoxetine hcl oral capsule,Indiana,Covered with Conditions,1 or 1b*,['PA'],Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
c1942d95-1e88-4121-be66-eaabe9165172,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,"amphetamine-dextroamphet er oral capsule extended release 24 hour 10 mg, 15 mg, 5",Indiana,Covered with Conditions,1 or 1b*,"['PA', 'DO']",Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
72f08887-9930-41b3-9b82-65c0a303f7a8,7e2df421-7631-4806-a5db-2b500b3bd2a1,7660ae63-7a05-4c4c-81c3-070973238499,"amphetamine-dextroamphet er oral capsule extended release 24 hour 20 mg, 25 mg, 30",Indiana,Covered with Conditions,1 or 1b*,"['PA', 'QL']",Yes,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Indiana_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
