id,plan_id,payer_id,drug_name,state_name,coverage_status,drug_tier,drug_requirements,is_prior_authorization_required,is_step_therapy_required,is_quantity_limit_applied,confidence_score,source_url,plan_name,payer_name,file_name,ndc_code,jcode,coverage_details,status
47ba84b9-3ef4-48c7-b13c-46c231d42b21,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,Aspirin,Colorado,Covered,Tier 1,,No,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
8772fb5c-f66b-4488-b459-c07b83d82514,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,ASPIRIN,Colorado,Covered,Tier 1,,No,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
095f97de-86f0-4008-89eb-bc084e83eb1d,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,metoprolol succinate extended-release,Colorado,Covered with Conditions,Tier 1,['QL'],No,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
3eaf241d-449b-4efe-a9eb-2a9054e4f464,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,XTAMPZA,Colorado,Covered with Conditions,Specialty,"['PA', 'QL']",Yes,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
f34f1560-75ae-49b8-ac79-fdccf2d77b3e,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,METHYLPHENIDATE HCL ER (OSM) ORAL TABLET EXTENDED RELEASE 72,Colorado,Covered with Conditions,1 or 1 b,PA; QL,Yes,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
195330ca-b29f-4200-9d33-4d49796b2732,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,"methylphenidate hcl er (xr) oral capsule extended release 24 hour 10 mg, 15 mg, 20 mg, 30",Colorado,Covered with Conditions,1 or 1 b,PA; DO,Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
96ecd6bd-7c52-4a22-9488-095bc0eb52a6,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,"methylphenidate hcl er (xr) oral capsule extended release 24 hour 40 mg, 50 mg, 60",Colorado,Covered with Conditions,1 or 1 b,PA; QL,Yes,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
12ae83d6-60b3-44bc-97be-cd0819ac7656,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,methylphenidate hcl er oral tablet extended release 10,Colorado,Covered with Conditions,1 or 1 b,PA; DO,Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
22572a45-0b8f-4bab-a85b-efbcf4935f3b,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,methylphenidate hcl er oral tablet extended release 20,Colorado,Covered with Conditions,1 or 1 b,PA; QL,Yes,No,Yes,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
8e22e7b4-0870-4e17-9689-4f3969f7ad66,9da54bea-9f55-44e6-821b-eb4c3e47eb04,871c7f6e-0a52-4994-a9a7-d1a41f12ea08,methylphenidate hcl er oral tablet extended release 24 hour,Colorado,Covered with Conditions,1 or 1 b,PA; DO,Yes,No,No,0.95,https://fm.formularynavigator.com/FBO/143/National_Direct_4_Tier_ABCBS.pdf,National Direct Drug List-Four Tier Drug Plan,ANTHEM BLUECROSS BLUESHIELD,Colorado_ANTHEM BLUECROSS BLUESHIELD_National Direct Drug List-Four Tier Drug Plan.pdf,,,,completed
