id,plan_id,payer_id,drug_name,state_name,coverage_status,drug_tier,drug_requirements,is_prior_authorization_required,is_step_therapy_required,is_quantity_limit_applied,confidence_score,source_url,plan_name,payer_name,file_name,ndc_code,jcode,coverage_details,status
92dfc7b2-aaf6-4172-815f-4a36014a1d3e,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,Tier 1,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
2e910ea3-bc9d-4883-a365-9ead54d9454c,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
cb6922e9-87f0-44e0-aac7-ec3a4fb71f17,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,Tier 2,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
ea998891-f590-4712-b9e3-cb2ba3b84461,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,Tier 3,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
e861f79f-4dea-43ab-96b0-af48fd7bd383,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,Tier 4,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
aceefb44-54fe-4a81-8d33-4609795af41b,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,(paliperidone),nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
74ef9bee-36e5-42b3-818b-28e08ffbfd88,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,Tier 5,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
cc3cf6e9-98b9-46d7-ab45-55d59d7a768d,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,Tier 6,nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
c5305970-ee82-429c-9893-06ae9f576ef9,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,nan,Colorado,Covered,(blood-glucose meter),nan,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
987651e8-7833-4587-81f1-cc722eaeabbd,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,ERYPED 400 ORAL SUSPENSION FOR RECONSTITUTION 400 MG/5,Colorado,Covered,Tier 3,,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
e1a15fb3-9f3c-4c10-9de4-759dd8bae5d9,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,"ERY-TAB ORAL TABLET,DELAYED RELEASE (DR/EC) 250 MG, 500",Colorado,Covered,Tier 1,,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
a27d1cd4-8719-4991-827a-dfd58618324a,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,"ERY-TAB ORAL TABLET,DELAYED RELEASE (DR/EC) 333",Colorado,Covered,Tier 3,,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
0319013e-6190-4b65-8db3-cc2951fbc023,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,ERYTHROCIN (AS STEARATE) ORAL TABLET 250,Colorado,Covered,Tier 1,,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
41fa6143-42d7-4f87-9c43-1a164a69a12a,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,erythromycin ethylsuccinate oral suspension for reconstitution 200 mg/5,Colorado,Covered,Tier 1,,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
bf7feae6-cab8-445f-b34e-f3a2d0ed0067,1fb786b9-7b65-4119-9af3-a2b7f41deef5,8f0f304c-e7cb-4d6c-a107-a563cf1463b4,erythromycin ethylsuccinate oral suspension for reconstitution 400 mg/5,Colorado,Covered,Tier 1,,No,No,No,0.95,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/co/preferred-provider-organization-co-en.pdf,Kaiser Permanente Insurance Company (KPIC),Kaiser Permanente,Colorado_Kaiser Permanente_Kaiser Permanente Insurance Company (KPIC).pdf,,,,completed
